time_at_cal,major,coding_exp_words,coding_exp_scale,cal_fav,piercings,pets_and_sibs,diet,prof_label,study_place,olympics,season,mts_beach,coffee_tea,tech_relationships,climate,crypto,ai,covid,fire_alarm,election,hotdogs,horse_duck,is_artist,is_comp_sci,is_entrepreneur,is_humanist,is_nat_sci,is_other,is_soc_sci
This is my first semester!,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,The Campus,2,4,I eat both plants and animals.,Social Scientist,The Library,Snowboarding,Winter,At the beach,Coffee,5,7,6,7,0.3,0.4,0.07,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Economics,None.,1,I love the scenery and how beautiful the campus is.,5+,I have one older brother.,I eat both plants and animals.,Entrepreneur,Doe Library,Ice skating,Summer,At the beach,Coffee,5,5,3,4,0.2,0.85,0.2,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Business Administration (Maybe Data Science double major),"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,"The people, everybody is so nice.",0,1,I eat both plants and animals.,Humanist,Bowles Hall,Ice skating,Spring,At the beach,Tea,5,10,6,5,0,0.5,0.2,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
I'm in my second year.,Data science,A good deal. I have several years of experience writing code.,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I'm in my second year.,Business and Economics,None.,1,The school's culture and environment,1,2,I eat both plants and animals.,Entrepreneur,Doe Library,Ice skating,Spring,In the mountains,Tea,5,8,7,4,0.35,0.9,0.04,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Political Science,Some. I've had to write code for one or two classes and am comfortable with it.,4,The campus and its weather.,0,2,I eat both plants and animals.,Social Scientist,Moffitt,Alpine skiing,Fall,At the beach,Coffee,7,4,1,1,0.05,0.76,0.06,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Economics,None.,1,The talented and smart people,4,2 sibilings 0 pets,I eat both plants and animals.,Entrepreneur,Law school,Ice skating,Spring,At the beach,Tea,7,8,4,5,0.3,0.4,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,EECS,A good deal. I have several years of experience writing code.,7,Friends,0,0,I eat both plants and animals.,Computational Scientist,Chou Hall,Snowboarding,Winter,In the mountains,Tea,5,6,4,7,0.03,0.99,0.1,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Psychology,None.,1,The people I've met here,5+,1 younger brother,I eat mostly plants.,Natural Scientist,Moffit or Dwinelle Student Space,I am not excited to watch the Olympics.,Spring,At the beach,Coffee,8,8,7,9,0.2,0.3,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Economics.,None.,1,n/a,2,2,I eat both plants and animals.,Entrepreneur,n/a,Curling,Fall,In the mountains,Tea,5,5,7,4,0.2,0.2,0.3,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,5,The campus,0,2 siblings and 2 pets,I eat both plants and animals.,Entrepreneur,dorm,I am not excited to watch the Olympics.,Winter,At the beach,Coffee,5,5,5,5,0.4,0.3,0.1,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Molecular Cell Biology,None.,1,I like the campanile,0,1 dog and 1 younger brother,I eat both plants and animals.,Natural Scientist,Stanley Hall or Evans Hall,Snowboarding,Winter,In the mountains,Tea,5,9,5,5,NA,NA,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,EECS and Business Administration,Some. I've had to write code for one or two classes and am comfortable with it.,4,NA,0,2,I eat both plants and animals.,Computational Scientist,cafe think,Ice skating,Winter,In the mountains,Tea,1,10,6,6,0.2,0.1,0.02,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Neuroscience,None.,2,The nature and opportunities.,5+,Three pets and one brother,I eat both plants and animals.,Social Scientist,library,Ice skating,Spring,In the mountains,Tea,5,7,7,5,0.54,0.7,0.03,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,The school spirit and the people,4,1 sister and 1 dog,I eat both plants and animals.,Entrepreneur,East Asian Library,Ice skating,Summer,At the beach,Coffee,6,3,3,5,0.4,1,0.1,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The school spirit/pride,2,4,I eat both plants and animals.,Social Scientist,The Music library,I am not excited to watch the Olympics.,Winter,At the beach,Coffee,6,7,4,9,0.005,0.84,0.08,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,economics,None.,1,the weather is nice,2,i have 4 siblings and 2 dogs,I eat both plants and animals.,Entrepreneur,either doe library or a lounge,I am not excited to watch the Olympics.,Winter,At the beach,Tea,6,7,8,7,0.5,0.3,0.02,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Legal studies,Very little. I've just dipped my toe in.,8,My new apartment!,2,1 younger sister,I eat both plants and animals.,Humanist,Doe,Snowboarding,Summer,At the beach,Tea,8,7,5,4,0.3,1,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,None.,1,The friends I have mate and opportunities I have been given,5+,One older brother and one dog,I eat both plants and animals.,Social Scientist,Coffee Shops,Ice skating,Summer,At the beach,Coffee,8,6,1,9,0.3,1,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Integrative Biology,Very little. I've just dipped my toe in.,2,The way it's such a big school but everyone can find their interests somehow and make the campus feel a bit smaller and personalized.,5+,"1 cat, 2 brothers, 1 sister",I eat both plants and animals.,Social Scientist,Valley Life Sciences Library or the study rooms in the dorms,Alpine skiing,Spring,At the beach,Coffee,8,3,7,10,0.2,0.7,NA,No,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Econ,Very little. I've just dipped my toe in.,2,The culture,0,"1 pet, 1 sibling",I eat both plants and animals.,Other,My room,Snowboarding,Summer,At the beach,Tea,6,7,7,8,0.1,0.8,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,3,"I love Cal's campus and the abundance of clubs, orgs, and resources.",2,1 dog + 1 sister,I eat both plants and animals.,Entrepreneur,Any cafe,Snowboarding,Fall,At the beach,Coffee,6,7,9,8,0.5,0.4,0.02,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The weather and the academic vibe.,2,I have 1 pet and 0 sibling.,I eat both plants and animals.,Other,My dorm.,Ice skating,Fall,At the beach,Coffee,4,5,5,4,0.4,0.1,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,Club opportunities,5+,2 siblings and 16 pets,I eat only plants.,Other,ASUC,Ice skating,Fall,At the beach,Tea,8,6,2,4,0.64,0.8,0.02,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,The nature on campus,0,3,I eat both plants and animals.,Social Scientist,Music Library (i'm typing this from the second floor),Alpine skiing,Summer,In the mountains,Tea,6,3,6,6,0.2,0.911,0.04,Yes,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Data Science with intended Economics double,Some. I've had to write code for one or two classes and am comfortable with it.,7,"The people, and the free boba booths.",0,1 sibling.,I eat both plants and animals.,Entrepreneur,Law Library(now shut down after GBO),I am not excited to watch the Olympics.,Spring,At the beach,Coffee,3,10,7,5,0.19,1,0.21,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Econ,None.,1,NA,1,1 bro,I eat both plants and animals.,Entrepreneur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,I am deciding between applied mathematics and data science as intended majors,None.,1,My favorite thing about Cal is the amount of opportunities here.,0,5,I eat both plants and animals.,Natural Scientist,Main stacks library,I am not excited to watch the Olympics.,Fall,At the beach,I don't drink either,7,5,2,10,0.5,1,0.07,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Economics,None.,1,"I love the diversity and differences that everyone has, and especially that everyone is studying at such a high level and have done very impressive things.",2,3,I eat mostly plants.,Other,In my dorm building,I am not excited to watch the Olympics.,Fall,At the beach,Tea,7,3,3,7,0.2,0.9,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Computer Science,A good deal. I have several years of experience writing code.,7,"At cal, I am surrounded by people who are very ambitious, which motivates me to do a lot of things as well :)",0,2,I eat both plants and animals.,Computational Scientist,Doe Library,I am not excited to watch the Olympics.,Summer,In the mountains,Coffee,6,7,6,4,0.3,0.8,0.05,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Electrical engineering and computer science,Some. I've had to write code for one or two classes and am comfortable with it.,7,The people who you can really connect with in and out of class. I think they help me get out of struggling positions and keep me accountable in academics and clubs.,0,one younger brother,I eat both plants and animals.,Computational Scientist,quiet cafes,Ice skating,Fall,In the mountains,Tea,4,4,7,3,0.25,0.6,NA,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Ecosystem Management & Forestry,None.,1,Living in the Bay Area,3,1 pet and 1 sibling,I eat both plants and animals.,Natural Scientist,On the Valley Life Sciences lawn,Ice skating,Fall,In the mountains,Coffee,10,5,7,10,0.75,1,0.1,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Economics,None.,1,Being surrounded by smart and motivated individuals,0,1,I eat both plants and animals.,Social Scientist,Moffitt,Alpine skiing,Summer,At the beach,I don't drink either,5,6,5,3,0.19,0.91,0.04,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Economics,None.,1,The communities and access to knowledgeable people in almost every aspect of academia.,0,1 dog and 1 younger sister,I eat both plants and animals.,Entrepreneur,Bancroft Library,Alpine skiing,Summer,In the mountains,Coffee,5,7,6,6,0.056,0.7,0.03,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Data Science,Some. I've had to write code for one or two classes and am comfortable with it.,5,The food,0,"2 pets, 2 siblings",I eat both plants and animals.,Computational Scientist,Southeast Asian Library,Snowboarding,Spring,In the mountains,Coffee,5,7,5,7,NA,NA,NA,No,Horse-sized duck,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,Learning environment,0,I have one younger brother,I eat both plants and animals.,Entrepreneur,Library,Ice skating,Winter,In the mountains,Coffee,5,7,6,7,0.01,0.2,0.03,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Ecosystem management and Forestry,None.,1,I like the campus a lot so far.,4,I have 2 siblings and 2 pets,I eat both plants and animals.,Natural Scientist,I haven't found a place to study yet,Snowboarding,Winter,At the beach,I don't drink either,4,8,5,8,0.2,0.4,0.08,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Economics,Very little. I've just dipped my toe in.,5,I enjoy being surrounded by such a smart and motivated student body. It's very inspiring being around people who are so passionate about a certain subject and want to learn more.,2,2,I eat both plants and animals.,Social Scientist,Moffitt,Ice skating,Winter,In the mountains,Tea,7,7,5,8,0.05,0.1,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,I love the general environment and the culture. Cal is definitely a College like no other.,0,"1 brother, 1 sister, 1 dog",I eat both plants and animals.,Entrepreneur,I like Doe library,I am not excited to watch the Olympics.,Spring,In the mountains,Tea,5,7,6,4,0.44,0.62,NA,No,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The prestigious ranking and professors here at Cal.,2,I have 2 siblings and 0 pets,I eat both plants and animals.,Entrepreneur,At my dorm,Snowboarding,Summer,At the beach,Tea,7,7,5,5,0.5,0.2,0.05,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,None.,1,the community,0,1 sister,I eat both plants and animals.,Entrepreneur,VLSB library,Snowboarding,Summer,At the beach,Tea,7,5,5,7,0.1,0.2,0.3,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Applied Mathematics,None.,1,Intramural Sports,0,2,I eat both plants and animals.,Other,VLSB Library,Bobsled/Luge/Skeleton,Summer,At the beach,I don't drink either,5,6,4,8,0.3,0.6,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,School spirit,0,1,I eat both plants and animals.,Humanist,Behind the Campanile with the Abe Lincoln statue.,Bobsled/Luge/Skeleton,Spring,In the mountains,I don't drink either,7,3,2,6,0,NA,0.025,Yes,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
This is my first semester!,Economic,Very little. I've just dipped my toe in.,4,The event on campus.,0,26 + 1,I eat both plants and animals.,Social Scientist,The library.,Speed skating,Winter,In the mountains,Coffee,5,5,5,5,0.5,0.5,0.01,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Intended Business Administration,None.,1,The pretty campus!,2,No pets no siblings,I eat both plants and animals.,Other,Social Welfare Library (no one can know about it),Ice skating,Summer,In the mountains,Tea,6,8,4,4,0.3,1,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Environmental Economics and Policy,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,The people and the amazing culture of excellence,0,3,I eat both plants and animals.,Entrepreneur,Empty classrooms,Alpine skiing,Summer,At the beach,Tea,8,4,3,4,0.4,0.9,0.038,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Global Studies,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,"Diversity of People, opportunities, classes...",0,2 siblings,I eat both plants and animals.,Social Scientist,not sure yet,Alpine skiing,Spring,In the mountains,Tea,5,4,3,3,0.6,0.7,0.03,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Econ,Very little. I've just dipped my toe in.,7,The school spirit,0,"1dog, 1 sister",I eat both plants and animals.,Other,Moffit,Snowboarding,Winter,At the beach,Coffee,10,4,5,5,0.6,0.9,0.02,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,Some. I've had to write code for one or two classes and am comfortable with it.,4,I enjoy the work ethic and being around people who motivate me to be better.,0,3,I eat both plants and animals.,Artist,Wurster studios,Snowboarding,Fall,At the beach,Coffee,8,10,7,9,0.05,0.6,0.02,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The people at Cal and the great amount of support,0,1,I eat both plants and animals.,Entrepreneur,Bear Cafe/Moffitt,Alpine skiing,Winter,In the mountains,Coffee,3,7,4,8,0.25,0.99,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Computer Science Engineering,Some. I've had to write code for one or two classes and am comfortable with it.,5,People,3,2,I eat both plants and animals.,Computational Scientist,Library,Speed skating,Fall,In the mountains,Coffee,4,4,6,5,0.3,0.002,NA,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,Very little. I've just dipped my toe in.,2,I love our campus and the people,0,"two sisters, and a gecko",I eat both plants and animals.,Social Scientist,Wurster arhitecture studios,Snowboarding,Spring,In the mountains,Coffee,8,10,7,10,0.12,1,0.2,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,No,None.,1,The scenery.,4,3 siblings,I eat both plants and animals.,Artist,The Doe Library,Bobsled/Luge/Skeleton,Fall,In the mountains,Coffee,5,6,7,6,0.436,0.38,NA,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,EECS,Some. I've had to write code for one or two classes and am comfortable with it.,3,I love the people that I have met. I feel free being able to be myself unlike in high school where I felt people's preconceptions of me limited my ability to expand my social network.,0,1 sibling,I eat both plants and animals.,Computational Scientist,Dorm room,I am not excited to watch the Olympics.,Winter,In the mountains,Coffee,2,8,6,3,0.017,0.137,NA,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,5,The scenery!,0,3 siblings,I eat both plants and animals.,Entrepreneur,My room,Ice skating,Spring,In the mountains,Coffee,5,4,5,7,0.3,0.01,0.07,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,2,"The trees and squirrels. (Also how much support there is for students, specifically transfers!)",2,4,I eat both plants and animals.,Humanist,The coffee shops on campus.,I am not excited to watch the Olympics.,Fall,At the beach,Coffee,8,8,8,9,0.6,0.98,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
This is my first semester!,I'm currently majoring in applied mathematics and planning to double major in Data Science this year.,Very little. I've just dipped my toe in.,1,I admire and admire the learning opportunities and the teaching atmosphere at cal. I am very excited and honored to be a part of cal.,1,I have three cats.,I eat mostly plants.,Computational Scientist,School Library,Alpine skiing,Winter,In the mountains,Coffee,1,10,9,10,NA,NA,NA,No,Horse-sized duck,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Business,None.,1,The people,0,1,I eat both plants and animals.,Entrepreneur,Library,Snowboarding,Summer,At the beach,Coffee,5,8,3,3,0.72,0.61,0.08,No,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,I like the diversity of students,1,2,I eat both plants and animals.,Entrepreneur,moffitt,Ice skating,Fall,At the beach,Coffee,6,4,5,9,0.15,0.8,0.03,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Applied Math,Some. I've had to write code for one or two classes and am comfortable with it.,7,The atmosphere around the school that the students and staff bring,0,3,I eat both plants and animals.,Computational Scientist,My room,Ice skating,Winter,In the mountains,I don't drink either,3,8,7,8,0.03,0.8,0.08,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Film and MCB,Some. I've had to write code for one or two classes and am comfortable with it.,4,"I like the city and how much community there is on campus, it seems like there is a lot of opportunity.",0,0 pets 1 sibling,I eat both plants and animals.,Artist,My dorm,Ice skating,Fall,At the beach,Coffee,2,8,9,2,0.06,0.13,0.02,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,The people,0,3,I eat both plants and animals.,Entrepreneur,Library,Bobsled/Luge/Skeleton,Summer,At the beach,Tea,1,10,4,4,0,0,0.01,Yes,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,cs and econ,Some. I've had to write code for one or two classes and am comfortable with it.,7,the sunsets,0,2,I eat both plants and animals.,Computational Scientist,moffitt,Ice skating,Spring,At the beach,Coffee,3,8,8,5,0.3,0.99,0.15,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Pure Mathematics,None.,1,The community and library in Evans,1,0,I eat both plants and animals.,Other,"Haven't found one yet, but I have these cool study pods in my apartment.",I am not excited to watch the Olympics.,Summer,In the mountains,Tea,10,5,3,1,0.2,1,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Business Administration,None.,1,Community within clubs,1,1 pet and 2 younger siblings,I eat both plants and animals.,Entrepreneur,my room or Haas library,Bobsled/Luge/Skeleton,Summer,In the mountains,Tea,3,5,3,4,NA,NA,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The access to many support resource.,0,2,I eat both plants and animals.,Other,Moffit,Curling,Summer,At the beach,I don't drink either,5,10,5,8,0.1,0.1,0.15,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Genetics and Plant Biology,A good deal. I have several years of experience writing code.,8,"There are so many different people here, and so many different viewpoints people are looking at the world from- it is really interesting to see what a big community there is, but also the parties still underrepresented or ignored.",0,5,I eat both plants and animals.,Natural Scientist,My dorm,Snowboarding,Spring,At the beach,Tea,6,3,1,2,0.33,0.6,0.04,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,data science,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,none,0,"1 cat, 1sister",I eat both plants and animals.,Computational Scientist,library,Snowboarding,Spring,At the beach,Tea,5,6,8,8,0,0,NA,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Statistics,Very little. I've just dipped my toe in.,2,The campus,0,1 +2,I eat both plants and animals.,Other,Hargrove Music Library,I am not excited to watch the Olympics.,Winter,At the beach,I don't drink either,6,7,8,9,0.02,0.15,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,None.,1,The people,0,1,I eat both plants and animals.,Natural Scientist,Study Lounge (Unit 1),Speed skating,Summer,In the mountains,Coffee,2,8,1,4,0.04,0.863,0.01,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Econ,None.,1,Oski,0,1,I eat both plants and animals.,Entrepreneur,East Asian Lib,I am not excited to watch the Olympics.,Summer,At the beach,Tea,8,5,6,6,0.001,0.1,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Data Science + Economics,Some. I've had to write code for one or two classes and am comfortable with it.,7,Football Games,0,"1 pet, 1 sibling",I eat both plants and animals.,Computational Scientist,Haas,Snowboarding,Summer,At the beach,Coffee,4,7,2,7,0.1,0.05,0.02,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Applied math,Some. I've had to write code for one or two classes and am comfortable with it.,8,Research experience,0,1,I eat both plants and animals.,Computational Scientist,Library,Ice skating,Fall,At the beach,Tea,3,7,9,2,0.2,NA,NA,No,Horse-sized duck,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,psychology and economics,Very little. I've just dipped my toe in.,4,the people,4,"0 pets, 1 sibling",I eat only plants.,Humanist,strada or environmental design library,Ice skating,Fall,At the beach,Coffee,5,6,5,6,0.2,0.7,0.08,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
This is my first semester!,Business Administration,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,The squirrels,2,1,I eat both plants and animals.,Entrepreneur,Moffit,Speed skating,Fall,In the mountains,I don't drink either,2,7,2,3,0.01,0.05,0.08,No,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Some. I've had to write code for one or two classes and am comfortable with it.,6,N/A,3,3,I eat only plants.,Other,N/A,Curling,Summer,At the beach,Tea,1,1,1,1,0.2,0.5,0.02,Yes,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,economic,Some. I've had to write code for one or two classes and am comfortable with it.,7,ranking！,0,1,I eat both plants and animals.,Entrepreneur,lawn,Ice skating,Spring,In the mountains,Coffee,3,9,9,8,0,0.99999,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Environmental Sciences,None.,1,The people,0,3,I eat only plants.,Natural Scientist,Haven't found it yet,I am not excited to watch the Olympics.,Summer,At the beach,Tea,8,4,5,7,0.5,0.3,0.1,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,The diversity of thought and opinion,0,"1 pet, no siblings",I eat only plants.,Social Scientist,Moffitt Library,I am not excited to watch the Olympics.,Spring,At the beach,Tea,2,5,8,6,0.2,0.7,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,NA,NA,NA,NA,NA,NA,NA,Computational Scientist,NA,Ice skating,Fall,At the beach,Coffee,6,6,6,6,NA,NA,NA,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,3,The weather!,0,2 siblings + 1 cat,I eat both plants and animals.,Social Scientist,My dorm,Ice skating,Spring,In the mountains,Coffee,6,3,5,7,0.33,0.7,0.08,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,3,The different student orgs and opportunities.,2,1 sibling,I eat both plants and animals.,Entrepreneur,Moffit,Snowboarding,Summer,In the mountains,Coffee,7,8,9,3,0.02,0.6,0.06,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",6,I really love the campus and size of the school.,0,I have one dog and a younger brother.,I eat both plants and animals.,Other,I love studying in Moffitt library.,Alpine skiing,Winter,In the mountains,Tea,5,8,9,5,0.05,0.3,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
